Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO CITY,6158355,2023/5/12,2023,5,12,,27.5,,15,,21.2,,0,,3.2,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/13,2023,5,13,,23.1,,13.6,,18.4,,0,,0.4,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/14,2023,5,14,,15.9,,10.5,,13.2,,4.8,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/15,2023,5,15,,23.9,,9.2,,16.5,,1.5,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/16,2023,5,16,,25,,6.6,,15.8,,2.2,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/17,2023,5,17,,10.2,,2.8,,6.5,,11.5,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/18,2023,5,18,,13.9,,4,,9,,9,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/19,2023,5,19,,21.5,,8.4,,14.9,,3.1,,0,,,,,,9,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/20,2023,5,20,,17.4,,11.9,,14.6,,3.4,,0,,,,,,15.5,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/21,2023,5,21,,24.3,,10.7,,17.5,,0.5,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/22,2023,5,22,,16.3,,11.4,,13.9,,4.1,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/23,2023,5,23,,19.5,,10,,14.8,,3.2,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/24,2023,5,24,,17,,6.8,,11.9,,6.1,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/25,2023,5,25,,15.4,,5.2,,10.3,,7.7,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/26,2023,5,26,,19.9,,7.4,,13.7,,4.3,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/27,2023,5,27,,23.2,,12.4,,17.8,,0.2,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/28,2023,5,28,,25.9,,12.7,,19.3,,0,,1.3,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/29,2023,5,29,,24.2,,17.3,,20.7,,0,,2.7,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/30,2023,5,30,,26.7,,15.1,,20.9,,0,,2.9,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/5/31,2023,5,31,,30.2,,16.9,,23.5,,0,,5.5,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/6/1,2023,6,1,,30.4,,19,,24.7,,0,,6.7,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/6/2,2023,6,2,,32.8,,19.6,,26.2,,0,,8.2,,,,,,9.4,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/6/3,2023,6,3,,23.4,,15.8,,19.6,,0,,1.6,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/6/4,2023,6,4,,20.3,,13.1,,16.7,,1.3,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/6/5,2023,6,5,,22.4,,14.2,,18.3,,0,,0.3,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/6/6,2023,6,6,,23.7,,15,,19.3,,0,,1.3,,,,,,0,,,,,M,,M
